fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,60,10,0,0.170253612205719,0.170253612205719,0.0214164029033933,0.725375288596231,0.692125910580169,0.033249378016062,7968750,641250,7327500,32,735,22723,45
1,2,60,10,5,0.159274193548387,0.159274193548387,0.0170723586860018,0.710228103008434,0.685291369045312,0.0249367339631215,6890000,572500,6317500,31,751,22707,46
1,2,60,10,10,0.159746071391404,0.159746071391404,0.0128266401117831,0.704496341259454,0.686037383198267,0.0184589580611877,6828750,616250,6212500,31,716,22742,46
1,2,60,10,15,0.15076112412178,0.15076112412178,0.0173091668264062,0.704420392472009,0.678051848398852,0.0263685440731578,6130000,480000,5650000,30,786,22672,47
1,2,60,15,0,0.169577066720501,0.169577066720501,0.0255250221108352,0.724632904806732,0.685589774706494,0.0390431301002377,7906250,590000,7316250,31,737,22721,46
1,2,60,15,5,0.156648637616083,0.156648637616083,0.0167232644817549,0.704046362337414,0.679160212283241,0.0248861500541736,6591250,545000,6046250,30,734,22724,47
1,2,60,15,10,0.149340574088441,0.149340574088441,0.0146906638550475,0.703550119936246,0.678264995299696,0.0252851246365503,6e+06,492500,5507500,30,776,22682,47
1,2,60,15,15,0.152396230198516,0.152396230198516,0.0280868379333228,0.701475806002096,0.659317343071286,0.0421584629308096,6222500,377500,5845000,27,751,22707,50
1,4,60,0,0,0.260390332692891,0.260390332692891,0.129671378444525,0.853322957601589,0.666151884606143,0.187171072995446,16878750,446250,16432500,28,735,22723,49
1,4,60,0,5,0.235910878112713,0.235910878112713,0.0889870948252934,0.819472975946153,0.691827504918988,0.127645471027165,14491250,623750,13867500,32,749,22709,45
1,4,60,0,10,0.181317539484622,0.181317539484622,0.0282074916377318,0.734646245517973,0.692765351282701,0.0418808942352715,8910000,678750,8231250,32,705,22753,45
1,4,60,0,15,0.174210526315789,0.174210526315789,0.0295625031721058,0.722003303582246,0.679906226436195,0.0420970771460513,8165000,588750,7576250,30,699,22759,47
1,4,60,5,0,0.249283374283374,0.249283374283374,0.130349026043603,0.83348590385212,0.647033714857059,0.186452188995061,15630000,321250,15308750,25,718,22740,52
1,4,60,5,5,0.187441908499432,0.187441908499432,0.0516741182372597,0.744568324857882,0.672730649859988,0.0718376749978946,9536250,5e+05,9036250,29,731,22727,48
1,4,60,5,10,0.170567859766978,0.170567859766978,0.025078044054078,0.717627155079077,0.680034114576701,0.0375930405023759,7831250,596250,7235000,30,693,22765,47
